num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
2,0,[[-23.52969154]],[[-23.63818024]],[[-24.69877083]],[[-24.67404862]],-1,"[0.7422141159643837, 0.1332759010126098, -0.02025166765119538, 0.10425831537181125]",0.4634706154994489,0.2927501669056807,[-1.01604964 -0.09489788  0.00851458 -0.6313457 ]
5,0,[[-23.52969154]],[[-23.63818024]],[[-24.45445745]],[[-24.545256]],-1,"[0.7271061795083325, 0.1561538821647642, -0.007714053114946115, 0.10902588521195719]",0.4355922143208786,0.26416763872835486,[-0.99649799 -0.09148409 -0.00175699 -0.65068635]
10,0,[[-23.52969154]],[[-23.63818024]],[[-25.70835039]],[[-25.69387052]],-1,"[0.6255406452643294, 0.20213716230025214, -0.07770614783848385, 0.09461604459693468]",0.3669674954332177,0.40960177695410793,[-1.15581808 -0.09501395  0.06149179 -0.70765575]
20,0,[[-23.52969154]],[[-23.63818024]],[[-25.07848388]],[[-24.85578726]],-1,"[0.764895813711677, 0.11960172200587812, -0.04912899154574814, 0.06637347273669672]",0.5010039933453101,0.3266583978880028,[-1.06663451 -0.08166699  0.04184106 -0.68176568]
50,0,[[-23.52969154]],[[-23.63818024]],[[-24.63856977]],[[-24.65988029]],-1,"[0.7351280043890611, 0.1528042526048277, -0.03420980110976104, 0.07785794189635006]",0.4545693171755045,0.2919267697410088,[-1.04026276 -0.08027956  0.02212153 -0.6974556 ]
100,0,[[-23.52969154]],[[-23.63818024]],[[-24.77308056]],[[-24.72770486]],-1,"[0.7147944118863444, 0.16027254358006413, -0.04097108314483018, 0.08396196138876132]",0.43680504111455465,0.3072886758372191,[-1.05379833 -0.08381346  0.02762601 -0.69302302]
200,0,[[-23.52969154]],[[-23.63818024]],[[-24.74220905]],[[-24.65537404]],-1,"[0.7445545346110248, 0.1447710979930893, -0.03223781811478067, 0.07843654928110536]",0.4652609888645583,0.2905760503077529,[-1.03637067 -0.08155819  0.02050822 -0.68811502]
500,0,[[-23.52969154]],[[-23.63818024]],[[-24.73830258]],[[-24.6930113]],-1,"[0.7703519942180941, 0.1220216037977887, -0.035780511453889774, 0.07184589053022755]",0.4989759518194898,0.30149659942264956,[-1.04168357 -0.08247137  0.02597753 -0.67426831]
1000,0,[[-23.52969154]],[[-23.63818024]],[[-24.6684488]],[[-24.62475152]],-1,"[0.7793466154772788, 0.11934720115930648, -0.03337510186991833, 0.06793108149349635]",0.5071430501888194,0.2952241226842126,[-1.03727869 -0.08034597  0.02409944 -0.67940309]
2,1,[[-23.52969154]],[[-23.63818024]],[[-24.45804425]],[[-24.57083988]],-1,"[0.9055407884758828, 0.049266485109523646, -0.02116120477236328, 0.024031521642230266]",0.6474052690254442,0.27377677691316077,[-1.01736361 -0.06819868  0.02236689 -0.68915939]
5,1,[[-23.52969154]],[[-23.63818024]],[[-24.66044688]],[[-24.74849678]],-1,"[0.8219032405563057, 0.09094441039612965, -0.033539212766933495, 0.053613136280631114]",0.5573516400813551,0.2988200064061719,[-1.0367514  -0.07830221  0.02897471 -0.67195285]
10,1,[[-23.52969154]],[[-23.63818024]],[[-24.74267473]],[[-24.66919263]],-1,"[0.8258523719879642, 0.0922341100933091, -0.029750056318104495, 0.052163461600622005]",0.5589965573045661,0.28945919202028925,[-1.03043338 -0.0764473   0.0242882  -0.6784418 ]
20,1,[[-23.52969154]],[[-23.63818024]],[[-24.94972779]],[[-24.87547297]],-1,"[0.7820550632003056, 0.1070027347093798, -0.03577160847785314, 0.07517059361246153]",0.5156033732567568,0.31182942534845753,[-1.04116749 -0.08776554  0.02655681 -0.64656553]
50,1,[[-23.52969154]],[[-23.63818024]],[[-24.93527439]],[[-24.92209942]],-1,"[0.8178591704943844, 0.08105972031595392, -0.03249870950731621, 0.06858239968234556]",0.5572377607752207,0.31990992321572076,[-1.0347666  -0.09086753  0.02601603 -0.6170386 ]
100,1,[[-23.52969154]],[[-23.63818024]],[[-24.81424152]],[[-24.75678594]],-1,"[0.8134597585400956, 0.09429934465843523, -0.028045994073801327, 0.06419490272766781]",0.5460404324997908,0.2961054588967657,[-1.02764552 -0.08354205  0.02031945 -0.6514927 ]
200,1,[[-23.52969154]],[[-23.63818024]],[[-24.76749763]],[[-24.6867811]],-1,"[0.7915546161072309, 0.10710912471749501, -0.03316877749790789, 0.06816748167736619]",0.5230014976784908,0.3009895775056868,[-1.03654942 -0.08326254  0.02467895 -0.66194118]
500,1,[[-23.52969154]],[[-23.63818024]],[[-24.81898662]],[[-24.72687342]],-1,"[0.7842837963772524, 0.11140286760237172, -0.03592241352960501, 0.06839092249077079]",0.5158461834867717,0.3041644168265032,[-1.04148992 -0.08275873  0.02736677 -0.6673743 ]
1000,1,[[-23.52969154]],[[-23.63818024]],[[-24.75510571]],[[-24.73246655]],-1,"[0.7828565804567283, 0.11367593781569844, -0.035755139108889396, 0.06771234261868388]",0.5135770109112341,0.3022201494267425,[-1.0412644  -0.08179998  0.02710985 -0.6720587 ]
2,2,[[-23.52969154]],[[-23.63818024]],[[-24.97412644]],[[-24.95403842]],-1,"[0.8004675230571607, 0.09959688882923476, -0.058238405578249296, 0.04169718253535516]",0.5453303214523646,0.3425444056858273,[-1.08375269 -0.07005231  0.0653655  -0.71797397]
5,2,[[-23.52969154]],[[-23.63818024]],[[-24.8257272]],[[-24.92663694]],-1,"[0.8435765952600464, 0.06959320886959994, -0.03947069085525799, 0.047359505015095726]",0.5881462303764021,0.3209867283518295,[-1.04676583 -0.08188857  0.04207346 -0.64796984]
10,2,[[-23.52969154]],[[-23.63818024]],[[-24.90540921]],[[-24.7837265]],-1,"[0.805616545534995, 0.0986598786761666, -0.04188782347290716, 0.053835752315931226]",0.5428723309524321,0.31171109857991414,[-1.05164532 -0.077334    0.03863059 -0.6830778 ]
20,2,[[-23.52969154]],[[-23.63818024]],[[-25.22389357]],[[-25.14680168]],-1,"[0.801354400431458, 0.07878211653355432, -0.051060440377585094, 0.06880304265740249]",0.5510703094280472,0.35824863349094627,[-1.06813697 -0.09446502  0.04922113 -0.60983983]
50,2,[[-23.52969154]],[[-23.63818024]],[[-24.79706452]],[[-24.91898571]],-1,"[0.7611460966461603, 0.11999318070642531, -0.04612970126737308, 0.07273102138004127]",0.4961398055217155,0.32407239087816314,[-1.06093372 -0.08501197  0.03712582 -0.66884118]
100,2,[[-23.52969154]],[[-23.63818024]],[[-24.78353453]],[[-24.74853617]],-1,"[0.7721541717871984, 0.11772780318677396, -0.03888153019130126, 0.0712364948347266]",0.5036547327749215,0.30908126024664834,[-1.04709842 -0.08347835  0.02967856 -0.66964243]
200,2,[[-23.52969154]],[[-23.63818024]],[[-24.7003495]],[[-24.74769072]],-1,"[0.782648641808183, 0.11015784414326367, -0.03679534968726158, 0.07039816436129166]",0.5152454544413176,0.3080657761848724,[-1.04302145 -0.08438036  0.02812255 -0.66114463]
500,2,[[-23.52969154]],[[-23.63818024]],[[-24.72398218]],[[-24.67923245]],-1,"[0.7752325912464684, 0.11984259272378048, -0.035095438028731905, 0.06982937800101925]",0.5039501725301333,0.29967959647048154,[-1.0403478  -0.08162892  0.02566115 -0.67578207]
1000,2,[[-23.52969154]],[[-23.63818024]],[[-24.84098423]],[[-24.75113319]],-1,"[0.7653145299137041, 0.12556100097075684, -0.037952958142576015, 0.07117151097296297]",0.49398018107695024,0.30392301187348564,[-1.04574226 -0.08167495  0.02812633 -0.6799786 ]
2,3,[[-23.52969154]],[[-23.63818024]],[[-24.55567908]],[[-24.53873811]],-1,"[0.8366746697974725, 0.09423471414477608, -0.032361177206456704, 0.03672943885129461]",0.5696726064427533,0.2833405444534951,[-1.03501952 -0.06425749  0.03074878 -0.72861053]
5,3,[[-23.52969154]],[[-23.63818024]],[[-24.66783086]],[[-24.74962812]],-1,"[0.7283944384848621, 0.15888226236952827, -0.04064585712260061, 0.07207744202300907]",0.4492592267224496,0.30137260489183604,[-1.05257925 -0.0770282   0.02876059 -0.71422812]
10,3,[[-23.52969154]],[[-23.63818024]],[[-24.95180457]],[[-24.82828572]],-1,"[0.7717494873799488, 0.1189869317170809, -0.04542623149967399, 0.06383734940329637]",0.5057062557246861,0.31727095407967243,[-1.0592744  -0.07961495  0.03819825 -0.68703929]
20,3,[[-23.52969154]],[[-23.63818024]],[[-24.91544074]],[[-24.84776829]],-1,"[0.7931014666142873, 0.10538818786058439, -0.04264875503850424, 0.05886159048662413]",0.529131136779,0.31365832665644217,[-1.05331194 -0.0791135   0.03750941 -0.68030964]
50,3,[[-23.52969154]],[[-23.63818024]],[[-24.72168594]],[[-24.71089373]],-1,"[0.7957568360527797, 0.10816475879304628, -0.03684358428174991, 0.059234820872424175]",0.5279732621960745,0.30077283863959575,[-1.04291623 -0.0778844   0.03019718 -0.68396201]
100,3,[[-23.52969154]],[[-23.63818024]],[[-24.85172746]],[[-24.79694664]],-1,"[0.7936786885875996, 0.10762892202469548, -0.03993989686406711, 0.05875249252363785]",0.5276106892771112,0.3069604316754171,[-1.0484379  -0.07811399  0.03401658 -0.68409431]
200,3,[[-23.52969154]],[[-23.63818024]],[[-24.71998931]],[[-24.64619436]],-1,"[0.773625077577643, 0.12486145765212765, -0.0368753293896115, 0.0646381353806178]",0.5013166861446207,0.29792086559131015,[-1.04363192 -0.07765851  0.02796289 -0.69342746]
500,3,[[-23.52969154]],[[-23.63818024]],[[-24.68113303]],[[-24.6383449]],-1,"[0.7558444635561462, 0.1369795619721752, -0.03506936877070316, 0.07210660570097543]",0.47970423004123053,0.29483697119883423,[-1.04100689 -0.07965261  0.0243201  -0.69184087]
1000,3,[[-23.52969154]],[[-23.63818024]],[[-24.68628822]],[[-24.64269831]],-1,"[0.7619231652040667, 0.13082502737509086, -0.03614319594080582, 0.07110861148003671]",0.4880597959087955,0.29836632770332605,[-1.04267361 -0.08034626  0.02589747 -0.68667666]
2,4,[[-23.52969154]],[[-23.63818024]],[[-24.03015883]],[[-24.10692522]],-1,"[0.6826263194174113, 0.252961871935306, 0.028829303481752735, 0.035582505165530104]",0.35604992395886714,0.193487124855535,[-0.94172461 -0.03766067 -0.03208112 -0.85849654]
5,4,[[-23.52969154]],[[-23.63818024]],[[-24.38515733]],[[-24.37711355]],-1,"[0.7446025259911847, 0.1775553023597779, -0.016826563641640004, 0.06101560800739745]",0.44698905178803017,0.2490744575092197,[-1.01072551 -0.06438764  0.00618943 -0.75515351]
10,4,[[-23.52969154]],[[-23.63818024]],[[-24.46177387]],[[-24.48029515]],-1,"[0.8210822000787376, 0.10560970843414232, -0.02236149396566741, 0.050946597521452794]",0.5465892193772832,0.2682366252825579,[-1.01867552 -0.07111725  0.01442436 -0.70301893]
20,4,[[-23.52969154]],[[-23.63818024]],[[-24.4789024]],[[-24.48836666]],-1,"[0.769640875583751, 0.14097377265733568, -0.023687159050624892, 0.06569819270828836]",0.4859364890398325,0.2684049445443302,[-1.02139212 -0.07350913  0.01329135 -0.71068463]
50,4,[[-23.52969154]],[[-23.63818024]],[[-24.69255857]],[[-24.68176183]],-1,"[0.7637036675647259, 0.1305860815217187, -0.035225438381713735, 0.07048481253184172]",0.48935958301996874,0.2962418348143263,[-1.0409967  -0.0798832   0.02503688 -0.687778  ]
100,4,[[-23.52969154]],[[-23.63818024]],[[-24.61403848]],[[-24.77892888]],-1,"[0.7923464903982643, 0.11013254838098822, -0.033408161794856596, 0.06411279942589101]",0.5226215235635395,0.2966712449948686,[-1.03701168 -0.08007777  0.02529217 -0.67546213]
200,4,[[-23.52969154]],[[-23.63818024]],[[-24.7288868]],[[-24.64290573]],-1,"[0.7864082714913619, 0.11692447525398038, -0.029083253371373716, 0.06758399988328394]",0.5127357880656989,0.28790761080383165,[-1.02985791 -0.08007232  0.0196953  -0.67734135]
500,4,[[-23.52969154]],[[-23.63818024]],[[-24.69318067]],[[-24.61078008]],-1,"[0.7860518053930357, 0.11935524240260459, -0.03242023178449432, 0.062172720419865386]",0.5128803225299537,0.28950392958351195,[-1.03555472 -0.07663732  0.02380714 -0.69251146]
1000,4,[[-23.52969154]],[[-23.63818024]],[[-24.65538936]],[[-24.63441876]],-1,"[0.7894172238260004, 0.11610599018035457, -0.031346969791115, 0.06312981620253007]",0.5167591685980429,0.28933704830424095,[-1.03363074 -0.07781136  0.02271354 -0.68612186]
2,5,[[-23.52969154]],[[-23.63818024]],[[-24.96675001]],[[-25.09754405]],-1,"[0.8309864772875786, 0.0761876959072563, -0.05940060928452688, 0.03342521752063822]",0.5827537953861793,0.3523571408669918,[-1.08572721 -0.07014719  0.07979957 -0.70663759]
5,5,[[-23.52969154]],[[-23.63818024]],[[-25.21320139]],[[-25.06071044]],-1,"[0.8104656386647102, 0.0798482834522205, -0.057856320566842256, 0.05182975731622698]",0.5617251789126163,0.35717770633712786,[-1.08179932 -0.08388626  0.06492809 -0.65396457]
10,5,[[-23.52969154]],[[-23.63818024]],[[-25.48044052]],[[-25.37957895]],-1,"[0.7476019313824651, 0.11232284653586623, -0.06730816846078827, 0.07276705362088032]",0.4975361279004272,0.3766515044251167,[-1.10573592 -0.09040793  0.06259873 -0.6561624 ]
20,5,[[-23.52969154]],[[-23.63818024]],[[-24.96812339]],[[-24.90800003]],-1,"[0.7417887844700299, 0.13248497631609174, -0.05278503117152785, 0.07294120804235049]",0.47714272943654884,0.33455424332867784,[-1.07535101 -0.08382096  0.04323885 -0.68340002]
50,5,[[-23.52969154]],[[-23.63818024]],[[-25.08337736]],[[-25.11027194]],-1,"[0.7436801007887595, 0.12186539985438995, -0.05557216816850246, 0.07888233118834817]",0.4844948810897623,0.34827868200752243,[-1.08065506 -0.08987491  0.04608109 -0.65796601]
100,5,[[-23.52969154]],[[-23.63818024]],[[-24.71670984]],[[-24.66598125]],-1,"[0.7892417864197583, 0.11810302023034161, -0.032609709359219516, 0.06004548399068071]",0.5163837966719207,0.288978396498828,[-1.03582644 -0.07556696  0.02439197 -0.69590078]
200,5,[[-23.52969154]],[[-23.63818024]],[[-24.55966906]],[[-24.6401784]],-1,"[0.7723281002001795, 0.13118453201779134, -0.03128335768523429, 0.06520401009679501]",0.4952934987802105,0.28519762118021397,[-1.03397665 -0.07599577  0.02150743 -0.70021896]
500,5,[[-23.52969154]],[[-23.63818024]],[[-24.70056005]],[[-24.65685813]],-1,"[0.7819060068363819, 0.11734276572181389, -0.03432408942998234, 0.06642713801182178]",0.5106610367059474,0.2968618330133188,[-1.03885262 -0.07999425  0.02545938 -0.68000546]
1000,5,[[-23.52969154]],[[-23.63818024]],[[-24.78187056]],[[-24.69449324]],-1,"[0.7763080594331253, 0.12127267650176653, -0.03399148413513249, 0.06842777992997565]",0.5038892947530256,0.29596211299299036,[-1.03842853 -0.08032561  0.02457204 -0.68076167]
2,6,[[-23.52969154]],[[-23.63818024]],[[-24.75510001]],[[-24.64865297]],-1,"[0.789841695875378, 0.1066341472437152, -0.017171869581514728, 0.08635228729939204]",0.5155776854749045,0.2903444680441561,[-1.01070879 -0.09122336  0.0067901  -0.625983  ]
5,6,[[-23.52969154]],[[-23.63818024]],[[-24.41989033]],[[-24.39493658]],-1,"[0.8276719456339625, 0.10935982330469116, -0.01798752890452425, 0.04498070215682196]",0.5498409909130907,0.2553291572535652,[-1.01191438 -0.06543089  0.00950572 -0.72538029]
10,6,[[-23.52969154]],[[-23.63818024]],[[-24.60446194]],[[-24.59453461]],-1,"[0.831106926266459, 0.09218673523516543, -0.029084161429806785, 0.0476221770685688]",0.5636897437423499,0.2844153559708784,[-1.02936875 -0.07311605  0.02421565 -0.69127981]
20,6,[[-23.52969154]],[[-23.63818024]],[[-24.46577987]],[[-24.47455298]],-1,"[0.797172238992694, 0.12459977041204562, -0.026066511630724678, 0.052161478964535664]",0.5187062901456991,0.27017863814899484,[-1.02490815 -0.0681121   0.01760453 -0.72413287]
50,6,[[-23.52969154]],[[-23.63818024]],[[-24.57354649]],[[-24.56404375]],-1,"[0.7485624745464253, 0.15327796745382619, -0.031191468718927768, 0.06696808928082089]",0.46526665436924425,0.28072971684602754,[-1.0345718  -0.07330658  0.02018335 -0.72001948]
100,6,[[-23.52969154]],[[-23.63818024]],[[-24.5044209]],[[-24.64781984]],-1,"[0.7461175037386486, 0.15447151832495112, -0.0316719081826517, 0.06773906975374848]",0.46280224044117113,0.28178912048717464,[-1.03548617 -0.07366611  0.02053646 -0.71952817]
