num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
2,0,[[-23.52969154]],[[-23.63818024]],[[-24.57358095]],[[-24.54040528]],68.6721599980551,"[0.8687494430275754, 0.13125055840943914, 0.0, 0.0]",0.5783185132483234,0.2744621616014011,[-0.98538365 -0.01549658 -0.01549658 -0.93259728]
5,0,[[-23.52969154]],[[-23.63818024]],[[-30.35930919]],[[-30.95134396]],0.000944494915734919,"[0.8195271818632051, 0.002412381915387037, 0.17021534640034516, 0.007845089821062716]",0.5934607393032385,0.6641331812823899,[-0.71190201 -0.07061682 -0.71315053 -0.61432056]
10,0,[[-23.52969154]],[[-23.63818024]],[[-24.9107252]],[[-24.66198945]],2.145642371239145,"[0.7808177215585353, 0.06684484801784799, 0.15233743042361675, 0.0]",0.5253760138474826,0.2809462302862234,[-0.79033845 -0.01971523 -0.32005204 -0.89518923]
20,0,[[-23.52969154]],[[-23.63818024]],[[-24.44972745]],[[-24.40379804]],1.3396102599609234,"[0.7940421585374071, 0.04776865057930893, 0.14313481250516782, 0.015054378378116132]",0.5432251814982401,0.2209653223066062,[-0.80368631 -0.04721392 -0.28857608 -0.7537649 ]
50,0,[[-23.52969154]],[[-23.63818024]],[[-29.81137544]],[[-30.96459193]],89.7765646153733,"[0.6914288695047547, 0.0, 0.2689361713762714, 0.03963495913153258]",0.5184178248179662,0.5973498654327064,[-0.66225181 -0.09942738 -0.55875725 -0.44915181]
100,0,[[-23.52969154]],[[-23.63818024]],[[-23.95305421]],[[-23.88646865]],0.8531363448405839,"[0.5542931672047892, 0.13086121089081176, 0.25852843467401204, 0.056317187230387235]",0.3380783338081025,0.1627562548197954,[-0.69920746 -0.05164605 -0.20912277 -0.73671906]
200,0,[[-23.52969154]],[[-23.63818024]],[[-24.21197092]],[[-24.1397486]],4.1745216885784355,"[0.6902754999911014, 0.07961554068240946, 0.2042943307028715, 0.025814628623617695]",0.4503065050359272,0.1988915960983928,[-0.75165701 -0.04466087 -0.26722522 -0.76452413]
500,0,[[-23.52969154]],[[-23.63818024]],[[-23.72758522]],[[-23.65745759]],5.493730836608309,"[0.6273654367798043, 0.15742503311543538, 0.14594209886069007, 0.0692674312440703]",0.3384846682210379,0.07354344061801132,[-0.80622956 -0.06031319 -0.11865359 -0.72908227]
1000,0,[[-23.52969154]],[[-23.63818024]],[[-23.73507777]],[[-23.66306983]],4.620030908347836,"[0.652527243989976, 0.14634307275159186, 0.14396178805149284, 0.05716789616782161]",0.36642339615772984,0.07438081687690477,[-0.81067146 -0.0556023  -0.12745121 -0.74481507]
2,1,[[-23.52969154]],[[-23.63818024]],[[-52.69114473]],[[-53.10561358]],8.395508448726842,"[0.558508321309673, 0.0, 0.4383519582897769, 0.0031397204005761373]",0.536040746117291,1.4081832284620084,[-0.42444475 -0.04201866 -1.43375568 -0.70851837]
