num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
2,0,[[-23.52969154]],[[-23.63818024]],[[-24.6248727]],[[-24.59568439]],0.016790202658234936,"[0.8334251850605789, 0.1665748149394211, 0.0, 3.882799030213713e-18]",0.5337084485609748,0.28242413577583675,[-0.98535528 -0.01323197 -0.01323197 -0.94460494]
5,0,[[-23.52969154]],[[-23.63818024]],[[-30.35939318]],[[-30.951445]],4.785868202641803e-07,"[0.8195274631775351, 0.0024121113712276083, 0.17021527470516257, 0.007845150746074768]",0.5934611023835299,0.6641369140506064,[-0.71190149 -0.0706174  -0.71315359 -0.61431754]
10,0,[[-23.52969154]],[[-23.63818024]],[[-24.91376114]],[[-24.66527556]],0.0027658651157442178,"[0.7815002797921012, 0.06649963319248932, 0.15200008701540946, 0.0]",0.5260883561629784,0.2812037162249316,[-0.79057319 -0.01978529 -0.32052181 -0.89482002]
20,0,[[-23.52969154]],[[-23.63818024]],[[-24.50296689]],[[-24.46114845]],0.005222406466144512,"[0.7952209210266324, 0.045899975810666724, 0.14419076359123087, 0.014688339571470059]",0.5453708795155869,0.22889334676882045,[-0.80164836 -0.04750966 -0.2967211  -0.75160494]
50,0,[[-23.52969154]],[[-23.63818024]],[[-23.67444697]],[[-23.5837169]],0.1999475733193053,"[0.4335444757824423, 0.313334645683711, 0.11314097141611214, 0.1399799071177345]",0.08714990386571783,0.05683226495036847,[-0.80048567 -0.08209827 -0.06740677 -0.7255275 ]
100,0,[[-23.52969154]],[[-23.63818024]],[[-23.94244143]],[[-23.87526706]],0.02707765878552279,"[0.5518513622097205, 0.13303865177223695, 0.25778404839492164, 0.05732593762312088]",0.33471343053179864,0.16025936102874974,[-0.69945923 -0.05186191 -0.20627699 -0.73654756]
200,0,[[-23.52969154]],[[-23.63818024]],[[-24.22621967]],[[-24.15599698]],0.4343880667755944,"[0.6935739148364892, 0.0779155765172763, 0.20302255193066857, 0.025487956715566088]",0.45358423612238324,0.2009650465309315,[-0.75266465 -0.04488153 -0.26940909 -0.76321592]
500,0,[[-23.52969154]],[[-23.63818024]],[[-23.98498047]],[[-23.86945294]],1.8048411013766317,"[0.4288213007014396, 0.3865526856749277, 0.025761562445496555, 0.1588644511781362]",0.11842831374867208,0.16566705073276575,[-0.9242768  -0.10191343 -0.02158289 -0.73295407]
1000,0,[[-23.52969154]],[[-23.63818024]],[[-23.86457708]],[[-23.76723641]],4.142982556896755,"[0.47858956618625653, 0.3508143458166872, 0.04389589749622971, 0.1267001905008266]",0.13377783890320846,0.13393549340832875,[-0.9009492  -0.08248842 -0.03252218 -0.75378217]
2,1,[[-23.52969154]],[[-23.63818024]],[[-52.61698345]],[[-53.02422162]],0.0007312790172132177,"[0.5656131462619096, 3.550762114890027e-18, 0.43142998576783204, 0.0029568679702583187]",0.5345579798124492,1.4076336853713423,[-0.42849329 -0.04209915 -1.43428384 -0.70971335]
5,1,[[-23.52969154]],[[-23.63818024]],[[-34.52367497]],[[-34.93718264]],0.035089677555915036,"[0.8513483190685136, 0.0, 0.14865168685315425, 0.0]",0.6194490482440005,0.856867996721255,[-0.69214614 -0.05796323 -0.91959636 -0.68266362]
10,1,[[-23.52969154]],[[-23.63818024]],[[-43.40363662]],[[-43.76437079]],0.012177850283413914,"[0.7602106778296951, 4.147954224022199e-16, 0.23978932217030458, 0.0]",0.5637498157856292,1.170614925959658,[-0.5782611  -0.04899672 -1.22388569 -0.71204355]
20,1,[[-23.52969154]],[[-23.63818024]],[[-39.89637521]],[[-40.93100173]],0.03268268030046541,"[0.5648587810025142, 0.0, 0.4189017172831576, 0.016239501714328176]",0.5242884913223801,1.018275383143025,[-0.48983721 -0.06315166 -1.03225489 -0.5931855 ]
50,1,[[-23.52969154]],[[-23.63818024]],[[-36.71860691]],[[-37.12935256]],0.23398455054928202,"[0.8289994709943236, 1.3769920533673874e-13, 0.17100052900544319, 9.548479086400607e-14]",0.6037230891160111,0.9440545657437417,[-0.66128037 -0.05553149 -1.00512296 -0.69086638]
100,1,[[-23.52969154]],[[-23.63818024]],[[-23.75247351]],[[-23.65028201]],0.0003579363472125082,"[0.47181200564258574, 0.23402858013049616, 0.22601888587414973, 0.06814052835276838]",0.20659942031821102,0.10368443820448632,[-0.70575949 -0.04762599 -0.14385153 -0.78805269]
200,1,[[-23.52969154]],[[-23.63818024]],[[-24.63390112]],[[-24.59598207]],0.0308492566185305,"[0.11864492874391501, 0.5375737383445263, 0.1797898422626637, 0.16399149064889504]",0.3109186487109085,0.24447389825883442,[-0.5348269  -0.09864763 -0.1076048  -0.7780212 ]
500,1,[[-23.52969154]],[[-23.63818024]],[[-23.81409477]],[[-23.71703823]],0.1603981486193604,"[0.33395573417226637, 0.34075925643379357, 0.21530258019354825, 0.10998242920039178]",0.10600539467233651,0.11835638776709617,[-0.66535397 -0.06106672 -0.11467087 -0.77538029]
1000,1,[[-23.52969154]],[[-23.63818024]],[[-24.22932059]],[[-24.11783716]],0.3412177329901634,"[0.48790675766463787, 0.3805963334044635, 2.5865336890536217e-16, 0.13149690893089838]",0.1686607977556477,0.21562877475934672,[-0.97899679 -0.09098188 -0.00642995 -0.75775243]
2,2,[[-23.52969154]],[[-23.63818024]],[[-24.74088578]],[[-24.72219331]],0.05797277295983789,"[1.0, 5.812017533912694e-14, 3.242545121295848e-14, 0.0]",0.7499999999999656,0.26359015381156004,[-0.9741178  -0.08018204 -0.08018204 -0.6026497 ]
5,2,[[-23.52969154]],[[-23.63818024]],[[-50.32516289]],[[-50.5899119]],0.015430400459840659,"[0.681675163315101, 5.0767766726633745e-17, 0.31832483668489897, 2.9907780222384198e-18]",0.5363526342562203,1.3649973574395258,[-0.50039857 -0.04288111 -1.40789341 -0.73029075]
10,2,[[-23.52969154]],[[-23.63818024]],[[-36.71049445]],[[-37.12126576]],0.07213160255439702,"[0.8290817080453621, 0.0, 0.17091829243461648, 0.0]",0.6037786739870036,0.9437468226814333,[-0.66139003 -0.05554013 -1.00482257 -0.69083751]
20,2,[[-23.52969154]],[[-23.63818024]],[[-25.86593405]],[[-26.09889464]],0.0535723329918782,"[0.9567654599190122, 0.0, 0.04323454008099668, 1.2640713129008496e-15]",0.7080866054308227,0.358522667306824,[-0.87454618 -0.07233937 -0.38509533 -0.63172662]
50,2,[[-23.52969154]],[[-23.63818024]],[[-25.8101003]],[[-26.03855522]],0.5735106178594339,"[0.9578484870622777, 0.0, 0.04215151294002057, 1.4693843201647044e-12]",0.7091024119818986,0.35342873567348776,[-0.87682377 -0.07251884 -0.37819674 -0.63106985]
100,2,[[-23.52969154]],[[-23.63818024]],[[-24.3305538]],[[-24.22831465]],0.27424274318396763,"[0.6831264592967782, 0.2097026061554042, 0.0, 0.10717093454781763]",0.37176339102375683,0.23152969690607617,[-0.98423552 -0.08332106 -0.00711107 -0.70052642]
200,2,[[-23.52969154]],[[-23.63818024]],[[-24.32420862]],[[-24.21928971]],0.07277523188178224,"[0.6583859686612467, 0.226932285354297, 3.6517284422027396e-17, 0.11468174598445621]",0.3434575981404454,0.23073913289785083,[-0.98377728 -0.08547887 -0.00685576 -0.70229629]
500,2,[[-23.52969154]],[[-23.63818024]],[[-24.27719048]],[[-24.10117335]],0.30854446923751605,"[0.28482604177851517, 0.5189720287756229, 0.0, 0.19620192944590162]",0.22260728327689105,0.22068535908544334,[-0.96649681 -0.15251223 -0.00739626 -0.73721218]
1000,2,[[-23.52969154]],[[-23.63818024]],[[-24.23086534]],[[-24.11250992]],1.0808630269470643,"[0.4596836876488868, 0.3990293290421123, 3.762537292362547e-16, 0.14128698330900064]",0.15374980140909417,0.21557849838257903,[-0.97788849 -0.09714498 -0.00642124 -0.75377066]
2,3,[[-23.52969154]],[[-23.63818024]],[[-24.35588336]],[[-24.15092833]],0.06684088853736667,"[0.6922102741695494, 0.14780330235608416, 0.15998642347436712, 0.0]",0.4112052374259712,0.21845941597343307,[-0.79263816 -0.01170328 -0.19893992 -0.9414889 ]
5,3,[[-23.52969154]],[[-23.63818024]],[[-34.39816586]],[[-34.81155075]],0.03606005611077695,"[0.8526365481943792, 1.1811027416513964e-17, 0.1473634518056208, 6.051203375184722e-18]",0.6203924533291034,0.8516205625772981,[-0.69399315 -0.05810877 -0.91441959 -0.68216802]
