num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
2,0,[[-23.52969154]],[[-23.63818024]],[[-36.5940326]],[[-36.43449247]],3.3697682746440565,"[0.7093323080728083, 0.011287469720905987, 0.2793802256380141, 0.0]",0.5324689201928655,0.9589854383364337,[-0.58967321 -0.0349707  -1.01198298 -0.78685325]
5,0,[[-23.52969154]],[[-23.63818024]],[[-29.85063164]],[[-30.39742372]],0.0003354888574222923,"[0.818741243348157, 0.003389974195402405, 0.16964449930457762, 0.00822428315186291]",0.5921401875318164,0.6386056138919852,[-0.7167142  -0.06982917 -0.68833579 -0.61893675]
10,0,[[-23.52969154]],[[-23.63818024]],[[-25.40983802]],[[-25.11510562]],0.4031498831850157,"[0.7438163737282102, 0.06421554052805421, 0.1919680857437306, 5.135478597006939e-15]",0.502714851866816,0.34317925178051495,[-0.74788761 -0.01922842 -0.38835279 -0.89398845]
20,0,[[-23.52969154]],[[-23.63818024]],[[-24.24501812]],[[-24.17507145]],0.21312643585410945,"[0.7339397793067548, 0.21181243910132222, 5.6785088783928295e-18, 0.05424778159192296]",0.4196413011257421,0.220577107358595,[-0.98483831 -0.05457869 -0.00849503 -0.79458661]
50,0,[[-23.52969154]],[[-23.63818024]],[[-23.70507639]],[[-23.61990216]],0.5971755372559483,"[0.425436666014005, 0.26609414001218207, 0.18870515913494876, 0.1197640348388643]",0.13597833007458307,0.0781295160745761,[-0.72378127 -0.06968336 -0.10670478 -0.72778361]
100,0,[[-23.52969154]],[[-23.63818024]],[[-23.84697007]],[[-23.77003416]],0.4201682207601956,"[0.5080918175376843, 0.16785615031315052, 0.25218660170603124, 0.07186543044313398]",0.2821732100928336,0.13593955258212245,[-0.69582515 -0.05437828 -0.17415478 -0.73749025]
200,0,[[-23.52969154]],[[-23.63818024]],[[-23.81740331]],[[-23.72574634]],5.254617881647458,"[0.5031535920185256, 0.32897479645867084, 0.054751060680614444, 0.113120550842189]",0.15368050395565216,0.11892171929689391,[-0.88870578 -0.07498549 -0.03943606 -0.76137445]
500,0,[[-23.52969154]],[[-23.63818024]],[[-24.2768735]],[[-24.11573913]],3.157332191102161,"[0.3442719959135316, 0.46189686571636746, 0.0, 0.19383113837010096]",0.16987642895878877,0.22268479525445448,[-0.97163125 -0.13663364 -0.00670328 -0.72463533]
1000,0,[[-23.52969154]],[[-23.63818024]],[[-24.04393193]],[[-23.92288371]],6.563511596787837,"[0.39734181745557007, 0.4294493998835515, 0.015894740399389123, 0.15731404226148912]",0.12810951937577048,0.17853255544896973,[-0.93932828 -0.10559217 -0.01634221 -0.74858355]
2,1,[[-23.52969154]],[[-23.63818024]],[[-51.94483509]],[[-50.84560519]],4.269720899388087,"[3.5711332784473166e-13, 0.0, 0.9772210521818168, 0.022778947819051067]",1.0089498824473866,0.8646322555896738,[-0.04565073 -0.01482352 -0.44644797 -0.50715944]
5,1,[[-23.52969154]],[[-23.63818024]],[[-60.06182189]],[[-60.12774831]],6.135506279006217,"[2.0662521715321402e-16, 0.5340642661251462, 0.0, 0.4659357338748537]",0.5457001148897773,1.5915717085318466,[-0.75232581 -1.61447542 -0.03392213 -0.38579225]
10,1,[[-23.52969154]],[[-23.63818024]],[[-52.17888116]],[[-51.03942132]],1.9436048898997096,"[4.7225051424742634e-17, 4.042210213278873e-18, 0.973097457499418, 0.026902542500581994]",1.0050584105338491,0.8626235575560832,[-0.04705474 -0.01626495 -0.43330423 -0.49190023]
20,1,[[-23.52969154]],[[-23.63818024]],[[-50.56231992]],[[-49.31659415]],1.9713228208582259,"[0.0, 0.034809893976507446, 0.8843421619583047, 0.08084794406518796]",0.913730940270197,0.7737328889385086,[-0.07423009 -0.02901043 -0.28558984 -0.53057951]
50,1,[[-23.52969154]],[[-23.63818024]],[[-30.70851582]],[[-31.80408315]],0.8554039842351501,"[5.285485590866834e-17, 0.4758433031020384, 0.14836371069419474, 0.37579298620376694]",0.46285781476273513,0.5622275435218897,[-0.30142901 -0.3122162  -0.12816126 -0.59983423]
100,1,[[-23.52969154]],[[-23.63818024]],[[-23.75142232]],[[-23.64947831]],0.0009149579714286653,"[0.4774062034557527, 0.2300331196452923, 0.22548832257962914, 0.06707235431932593]",0.21202816325896537,0.10321900518851534,[-0.70767406 -0.04745214 -0.14498617 -0.78777157]
200,1,[[-23.52969154]],[[-23.63818024]],[[-24.35858615]],[[-24.30371202]],0.04427496170217438,"[0.14333135803115338, 0.5210856635318899, 0.17693442879537857, 0.15864854964157815]",0.2807860227086209,0.21204679766134352,[-0.56661891 -0.09330875 -0.10342584 -0.77895988]
500,1,[[-23.52969154]],[[-23.63818024]],[[-23.85348792]],[[-23.75611427]],0.23729974678899515,"[0.3191745377062819, 0.3481929660957119, 0.2203486714139833, 0.1122838247840229]",0.11440353823019714,0.12897228887903595,[-0.65439975 -0.06154417 -0.11593207 -0.7756127 ]
1000,1,[[-23.52969154]],[[-23.63818024]],[[-24.22934985]],[[-24.11634814]],0.5590839529361381,"[0.48081829148667715, 0.38549747889215985, 1.0048732454091643e-15, 0.13368422962116203]",0.16434148508627858,0.21555373612492312,[-0.97872942 -0.09234121 -0.00642668 -0.75712031]
2,2,[[-23.52969154]],[[-23.63818024]],[[-50.29979768]],[[-49.47966479]],11.975218308972108,"[0.0, 0.0, 1.0, 0.0]",1.0307764064044151,0.9092780468998028,[-0.0370188  -0.00583035 -0.58886581 -0.67373281]
5,2,[[-23.52969154]],[[-23.63818024]],[[-54.65843136]],[[-54.84476247]],0.8932025339341344,"[0.6243108297020186, 4.650576376214875e-12, 0.37568917039335525, 0.0]",0.5303309815160054,1.472080887183151,[-0.45186509 -0.03907944 -1.50725181 -0.74051293]
10,2,[[-23.52969154]],[[-23.63818024]],[[-33.26611008]],[[-33.67677131]],6.489552367134797,"[0.0, 0.8643435480423128, 0.0, 0.1356564519576873]",0.6291428041223756,0.8027976984385632,[-0.67754357 -0.86607179 -0.0594599  -0.71113879]
20,2,[[-23.52969154]],[[-23.63818024]],[[-32.22559441]],[[-32.63083785]],3.407403227225956,"[0.8752932481702301, 0.0, 0.1247067579802756, 0.0]",0.6376075753593284,0.7552610305996627,[-0.7277896  -0.06077219 -0.81864246 -0.67301326]
50,2,[[-23.52969154]],[[-23.63818024]],[[-24.55702583]],[[-24.32997699]],6.558217525189087,"[0.27999824279352376, 0.4356099373471923, 0.0, 0.2843918198593362]",0.23179657162179929,0.2699717560933487,[-0.96643669 -0.19820122 -0.00673257 -0.64826227]
100,2,[[-23.52969154]],[[-23.63818024]],[[-24.31281918]],[[-24.19513868]],0.7569398434121791,"[0.5683232055066685, 0.288142114112627, 0.0, 0.14353468038072914]",0.24675228166121033,0.22938207024998788,[-0.981696   -0.09623641 -0.00626806 -0.70399648]
200,2,[[-23.52969154]],[[-23.63818024]],[[-24.32057863]],[[-24.21102016]],0.24088060566768985,"[0.6241122771707749, 0.24990351996394622, 1.9199242652786445e-15, 0.12598420286527684]",0.3055029044213808,0.23034652586391313,[-0.98306822 -0.08933507 -0.00656952 -0.70258888]
500,2,[[-23.52969154]],[[-23.63818024]],[[-24.26758226]],[[-24.09924256]],0.49693143681466984,"[0.3044224926270338, 0.5037270325339122, 0.0, 0.19185047483907003]",0.20407307377059108,0.21961103561999218,[-0.96836992 -0.14459591 -0.00716352 -0.73734185]
1000,2,[[-23.52969154]],[[-23.63818024]],[[-24.22874287]],[[-24.11606616]],1.561642571692705,"[0.4806400579779695, 0.3862423723451745, 0.0, 0.1331175696768622]",0.16424709349938285,0.21544480916176847,[-0.97872018 -0.09205798 -0.00643233 -0.75799858]
2,3,[[-23.52969154]],[[-23.63818024]],[[-49.26682381]],[[-49.01020681]],2.5570579443616945,"[6.790491474131566e-12, 0.4643327729167042, 0.5356672270690132, 7.492204126524088e-12]",0.5769557311428443,0.7261643074849405,[-0.09398249 -0.0037117  -0.20253528 -0.97906512]
5,3,[[-23.52969154]],[[-23.63818024]],[[-45.25181762]],[[-45.03142517]],3.23647266141007,"[0.0, 0.6163555800632786, 0.38364441993833864, 1.4727883397561675e-14]",0.5304709718664328,0.7055756216848081,[-0.1151148  -0.00485793 -0.19122988 -0.98354585]
10,3,[[-23.52969154]],[[-23.63818024]],[[-24.62119014]],[[-24.46287352]],0.45083013141548234,"[0.3650601057919434, 0.19080390163411518, 0.3980790584100662, 0.04605693416387524]",0.33886750203555543,0.2823678251041897,[-0.55848218 -0.0336371  -0.24486883 -0.81250695]
20,3,[[-23.52969154]],[[-23.63818024]],[[-32.8073428]],[[-33.21599155]],0.45324949388805774,"[1.1171348134747516e-16, 0.8691443656346607, 1.1904689020109825e-16, 0.13085563436533923]",0.6328214144150793,0.7821794071223237,[-0.67558239 -0.8455467  -0.06002931 -0.71836392]
50,3,[[-23.52969154]],[[-23.63818024]],[[-33.04513786]],[[-33.51597775]],0.11285262130805468,"[0.0, 0.6634656100514839, 0.1807248453892168, 0.1558095445592995]",0.47738024112019795,0.5609251403669836,[-0.22515267 -0.13603091 -0.15647154 -0.80421559]
100,3,[[-23.52969154]],[[-23.63818024]],[[-25.15610861]],[[-25.026341]],0.6471191290896972,"[0.22720817588482561, 0.2625815494209005, 0.4134178225963941, 0.09679245209787984]",0.3441814019609304,0.3155376570214209,[-0.48431551 -0.04823851 -0.19125925 -0.76268016]
200,3,[[-23.52969154]],[[-23.63818024]],[[-23.86025538]],[[-23.7726219]],0.4043194539861103,"[0.5542638602595252, 0.15091209890046614, 0.24211265747184346, 0.052711383368165186]",0.3182639433693405,0.13784139608930346,[-0.71165316 -0.04756623 -0.19122601 -0.76354986]
500,3,[[-23.52969154]],[[-23.63818024]],[[-23.65563194]],[[-23.57105906]],0.14830379936684188,"[0.5164779422177993, 0.24207878560107648, 0.14679316504487677, 0.09465010713624745]",0.19768691259408663,0.039141522330728186,[-0.78582748 -0.06345037 -0.09506521 -0.74670401]
1000,3,[[-23.52969154]],[[-23.63818024]],[[-23.85548678]],[[-23.75896579]],0.0029162218625824123,"[0.5025788120816036, 0.32005801530330813, 0.050138655237423065, 0.12722451737766524]",0.15781046984211658,0.13063269732467103,[-0.89544194 -0.08231084 -0.03607273 -0.74039827]
2,4,[[-23.52969154]],[[-23.63818024]],[[-53.72809935]],[[-53.34243286]],6.049873073519452,"[0.0, 0.18320480206354997, 0.8167952036225359, 0.0]",0.8195218128314999,0.7508020039871958,[-0.06951477 -0.00294197 -0.24324099 -0.9530217 ]
5,4,[[-23.52969154]],[[-23.63818024]],[[-46.90877689]],[[-46.67508463]],2.2598674742753873,"[3.850700323469511e-12, 0.5582987130523344, 0.4417012869480139, 0.0]",0.5386539922420349,0.7145828980587939,[-0.10587394 -0.00432649 -0.19542814 -0.98214004]
10,4,[[-23.52969154]],[[-23.63818024]],[[-45.36701715]],[[-45.166069]],2.056571826489208,"[0.0, 0.5452711593892673, 0.4327117186825687, 0.022017121928163987]",0.5243178832638691,0.6967892361023936,[-0.11303162 -0.01396913 -0.19315591 -0.94551955]
20,4,[[-23.52969154]],[[-23.63818024]],[[-23.85573545]],[[-23.77607162]],0.1480479461487922,"[0.7629350154258984, 0.11300646373185287, 0.09549414722044144, 0.028564373621807346]",0.4788576141432694,0.10846129496714539,[-0.86606534 -0.04466432 -0.12218077 -0.79049264]
50,4,[[-23.52969154]],[[-23.63818024]],[[-24.12725396]],[[-24.01379803]],0.46882304348127535,"[0.840211296702867, 0.07945405074882031, 0.07419872114365915, 0.006135931404653506]",0.5661081128505604,0.1656081109214628,[-0.88604514 -0.02887666 -0.15068097 -0.859315  ]
100,4,[[-23.52969154]],[[-23.63818024]],[[-24.26890381]],[[-24.21136644]],5.427895588380962,"[0.8340742664301567, 0.13963882390552168, 2.0205970956751335e-18, 0.02628690966432162]",0.5399197528472007,0.2251866540769092,[-0.98570803 -0.04296607 -0.01184065 -0.81924568]
200,4,[[-23.52969154]],[[-23.63818024]],[[-24.28252094]],[[-24.2250327]],15.390610200384474,"[0.7679317990419783, 0.19704175620660738, 0.0, 0.03502644475141555]",0.45802268052626416,0.22817505658315357,[-0.98517338 -0.04300124 -0.00955022 -0.83212825]
500,4,[[-23.52969154]],[[-23.63818024]],[[-24.02616785]],[[-23.95216121]],10.24960787437652,"[0.6376458600326355, 0.27175071157196207, 0.02874656340891254, 0.06185686498648983]",0.3047868811286138,0.17488459657964558,[-0.93944916 -0.0528022  -0.02847193 -0.8119084 ]
1000,4,[[-23.52969154]],[[-23.63818024]],[[-23.66550128]],[[-23.5775563]],8.426307772830521,"[0.5071276846492078, 0.29601581462585974, 0.11509330067328377, 0.08176320005164882]",0.16019922019566996,0.04632970244041082,[-0.81500554 -0.05637031 -0.07684506 -0.79234713]
2,5,[[-23.52969154]],[[-23.63818024]],[[-24.74088578]],[[-24.72219331]],17.024453945437166,"[0.0, 1.0, 0.0, 0.0]",0.75,0.26359015381226025,[-0.6026497  -0.08018204 -0.08018204 -0.9741178 ]
5,5,[[-23.52969154]],[[-23.63818024]],[[-50.29979768]],[[-49.47966479]],3.2369188689311796,"[0.0, 0.0, 0.0, 1.0]",1.0307764064044151,0.9092780468998035,[-0.67373281 -0.58886581 -0.00583035 -0.0370188 ]
