num_episodes,run,J_opt_sigma,J_opt,J_sigma,J,loss,weights,diff_weights,diff_pi,k
2,0,[[-23.52969154]],[[-23.63818024]],[[-29.914465]],[[-29.90111656]],-1,"[0.09382199961230328, 0.1002242432348857, 0.3609869789148749, 0.4449667782379361]",0.5591344899048877,0.5570823756858659,[-0.40435706 -0.16013008 -0.13057256 -0.37317925]
5,0,[[-23.52969154]],[[-23.63818024]],[[-29.85831808]],[[-29.86051109]],-1,"[0.09559647432147075, 0.10019538072171771, 0.3792663462298294, 0.4249417987269822]",0.5551579652557632,0.5551201795715116,[-0.39744015 -0.15279841 -0.13675227 -0.38183392]
10,0,[[-23.52969154]],[[-23.63818024]],[[-29.87133967]],[[-29.88649785]],-1,"[0.09739430843699014, 0.0976250641537841, 0.3947958854825235, 0.4101847419267022]",0.555087319144446,0.5559731210544411,[-0.39230027 -0.14735563 -0.14195888 -0.38542635]
20,0,[[-23.52969154]],[[-23.63818024]],[[-28.61868318]],[[-28.62128517]],-1,"[0.1389384208591839, 0.10198335642458017, 0.3539479471929079, 0.4051302755233281]",0.5110315945264694,0.5091497892200132,[-0.45658607 -0.14938821 -0.13096981 -0.39016278]
50,0,[[-23.52969154]],[[-23.63818024]],[[-29.05599601]],[[-29.05894169]],-1,"[0.12216300966588635, 0.1006800415032011, 0.35776075987527034, 0.41939618895564235]",0.5291735733388598,0.5266848895601892,[-0.43800429 -0.15291685 -0.1309672  -0.38318848]
100,0,[[-23.52969154]],[[-23.63818024]],[[-28.84872088]],[[-28.83666169]],-1,"[0.111045519452136, 0.11745996994713429, 0.3678485113020698, 0.40364599929866]",0.5221281712833584,0.5193464629781087,[-0.41989979 -0.14808305 -0.13526774 -0.40956011]
200,0,[[-23.52969154]],[[-23.63818024]],[[-28.46821224]],[[-28.46821224]],-1,"[0.12337282543962405, 0.11875175288397626, 0.3772635097365898, 0.38061191193980987]",0.5078914519830201,0.5048888032886568,[-0.42815362 -0.14080752 -0.13960049 -0.42140845]
500,0,[[-23.52969154]],[[-23.63818024]],[[-28.39568062]],[[-28.39935484]],-1,"[0.14566083605520405, 0.10290924384717617, 0.39016424989201587, 0.36126567020560396]",0.5027557836974251,0.5008834676828126,[-0.44390595 -0.13516542 -0.14568643 -0.41228147]
1000,0,[[-23.52969154]],[[-23.63818024]],[[-28.07624598]],[[-28.07743061]],-1,"[0.12377436294296301, 0.13421581547376182, 0.37371730015008686, 0.3682925214331883]",0.49208016685490014,0.48846573186818143,[-0.42946744 -0.13767616 -0.13965046 -0.44326812]
2,1,[[-23.52969154]],[[-23.63818024]],[[-29.98677549]],[[-29.97398069]],-1,"[0.0967019755693646, 0.09547278308329038, 0.3812997836969245, 0.42652545765042055]",0.5587418331694716,0.5591944891986832,[-0.39807749 -0.15292134 -0.13707811 -0.37558019]
